DPP_ID,Sector,Product_Name,Manufacturer,Manufacturing_Country_ISO2,Manufacturing_Date,Product_Version,Unit_of_Measure,Product_Weight_kg,Expected_Lifetime_Years,Primary_Material_pct,Secondary_Material_pct,Other_Materials_pct,Recycled_Content_pct,Bio_Based_Content_pct,CRM_Composition_detail,CRM_Total_pct,Hazardous_Substances,Hazardous_Flag,GWP_Total_kgCO2eq,GWP_A1_A3_Extraction_kgCO2eq,GWP_A4_A5_Manufacturing_kgCO2eq,GWP_B_Use_Phase_kgCO2eq,GWP_C_EoL_kgCO2eq,LCA_Extraction_pct,LCA_Manufacturing_pct,LCA_Use_Phase_pct,LCA_EoL_pct,LCA_Sum_check,Energy_Manufacturing_MJ,Renewable_Energy_Share_pct,Water_Usage_Litres,Land_Use_m2a,Eutrophication_kgPeq,Acidification_molHp,Particulate_Matter_kgPM25eq,Resource_Depletion_kgSbeq,Recyclability_Score_pct,Repairability_Score_1_10,Durability_Index_0_1,Disassembly_Time_min,Spare_Parts_Available_Years,Design_for_Disassembly,Remanufacturing_Potential,EoL_Scenario,EoL_Recovery_Rate_pct,EoL_Treatment_Country,Collection_Infrastructure,Primary_Supply_Country,Supply_Concentration_Risk_1_10,Transport_Distance_km,Transport_GWP_kgCO2eq,Conflict_Minerals_Flag,Social_Risk_Score_1_10,Certifications,REACH_SVHC_Compliant,RoHS_Compliant,ESPR_Applicable,EU_Battery_Reg_Applicable,CRMA_Strategic_Material,DPP_Completeness_Score,DPP_Data_Quality,DPP_Verifier,DPP_Issue_Date,DPP_Expiry_Date,DPP_Standard_Version,Data_Source,Anomaly_Flag,Anomaly_Type,Anomaly_Severity,Unnamed: 70,Unnamed: 71,ANOMALY LABELS
DPP-BAT-00001,Battery,Lithium-Ion Battery Pack (EV),Knauf Insulation (DE),IT,2020-09-30,v1.3,kWh capacity,160.131,6,61.56,38.44,0,33.5,4.3,Manganese: 0.8055%; Lithium: 1.9853%; Vanadium: 5.1211%,7.9119,NMP solvent; Lead,True,176503.13,,76425.86,9178.16,36889.15,30.6,43.3,5.2,20.9,100,6454.94,32.3,55899.3,68.05,22.67106,16.68237,0.813354,0.7105478,15.9,4.0,0.365,24.0,6.0,Partial,Low,Composting (bio-based only),63.1,FR,Municipal WEEE,US,5.1,2334.0,93.436,False,5.8,ISO 14040/44 LCA; ESPR Regulation EU/2024/1781; EU Battery Regulation 2023/1542; Cradle to Cradle Certified,True,True,True,True,True,,Low,Intertek,2020-11-28,2021-11-28,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-BAT-00002,Battery,Lithium-Sulfur Prototype Cell,VELUX A/S (DK),IT,2025-03-10,v5.2,kWh capacity,241.422,9,12.11,12.11,75.78,33.4,1.3,Manganese: 0.0376%,0.0376,Cadmium; NMP solvent,True,612833.57,83958.2,226135.59,211427.58,91312.2,13.7,36.9,34.5,14.9,100,6139.94,74.2,24020.43,74.783,21.15747,4.23675,2.696527,1.4598648,16.3,9.3,0.943,144.0,7.0,Yes,Low,Mechanical recycling,19.8,CZ,Industrial collection,IN,9.9,14541.0,877.629,False,4.9,ISO 14001:2015; ISO 50001,False,True,True,True,True,0.933,High,TÜV SÜD,2025-07-22,2026-07-22,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00003,Battery,Cylindrical 21700 Cell,BASF SE (DE),BE,2020-08-26,v5.1,kWh capacity,120.586,12,33.1,26.79,40.11,27.4,4.5,Phosphorus: 3.4148%,3.4148,None declared,False,99269.7,10026.24,28490.4,37126.87,23626.19,10.1,28.7,37.4,23.8,100,4736.37,20.9,17202.84,139.318,29.72636,,2.096183,1.1673487,56.1,7.0,0.641,46.0,3.0,Partial,Low,Mechanical recycling,61.0,CN,PRO (Producer Responsibility),CN,7.7,1123.0,33.855,False,7.0,WEEE Directive 2012/19/EU; ESPR Regulation EU/2024/1781; FSC Certified; EN 15804+A2; ISO 14001:2015,True,True,True,True,True,0.978,High,Self-declared,2020-10-22,2021-10-22,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00004,Battery,Grid-Scale BESS Module,Evonik Industries (DE),FI,2022-12-15,v1.6,kWh capacity,388.418,11,75.82,24.18,0,,4.1,Lithium: 8.0335%,8.0335,NMP solvent; Lithium hexafluorophosphate,True,1620861.85,,327414.09,153981.88,646723.88,30.4,20.2,9.5,39.9,100,6013.52,39.1,174592.26,159.224,15.26024,15.90711,1.138055,0.0473386,65.2,2.9,0.475,26.0,8.0,Yes,Not assessed,Energy recovery (incineration),95.7,SE,PRO (Producer Responsibility),IN,9.4,15576.0,1512.5,False,8.8,CE Marking; RoHS Directive 2011/65/EU,True,True,True,True,True,0.464,Low,Self-declared,2023-04-09,2025-04-08,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),True,Negative recycled content (format error),High,,,
DPP-BAT-00005,Battery,Cylindrical 21700 Cell,BASF SE (DE),ES,2021-03-21,v2.8,kWh capacity,151.077,14,20.37,34.92,44.71,5.2,0.6,Manganese: 5.7461%; Phosphorus: 4.3499%,10.096,NMP solvent; Lithium hexafluorophosphate,True,214373.4,71171.97,78675.04,17792.99,46733.4,33.2,36.7,8.3,21.8,100,7191.99,11.3,17747.4,62.084,23.2327,10.62311,2.794671,,61.5,1.4,0.989,147.0,12.0,No,Not assessed,Chemical recycling (pyrolysis),50.1,CL,Not established,DRC,2.7,12565.0,474.571,False,9.1,RoHS Directive 2011/65/EU; ISO 50001; EN 15804+A2; Cradle to Cradle Certified,False,True,True,True,True,0.828,High,Self-declared,2021-07-17,2023-07-17,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00006,Battery,Cylindrical 21700 Cell,Automotive Cells Co. (FR),SE,2024-12-23,v5.3,kWh capacity,376.216,11,72.04,27.96,0,8.8,3,Vanadium: 3.6489%,3.6489,NMP solvent,True,94607.28,22043.5,21192.03,15515.59,35856.16,23.3,22.4,16.4,37.9,100,14328.32,81.9,71328.35,150.402,35.91814,15.55606,0.818913,0.6220847,63.2,1.7,0.314,130.0,5.0,Partial,High,Pyrometallurgical smelting,67.2,CL,PRO (Producer Responsibility),CN,7.8,17098.0,1608.135,False,4.6,FSC Certified; ISO 14001:2015,True,,True,True,True,0.792,Medium,Bureau Veritas,2025-05-03,2026-05-03,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-BAT-00007,Battery,Supercapacitor Hybrid Pack,ams-OSRAM (AT),IT,2024-03-26,v3.9,kWh capacity,12.055,8,84.73,,0,16.6,0.5,Vanadium: 3.4606%,3.4606,NMP solvent; Lead,True,38932.01,10589.51,16662.9,3231.36,8448.25,27.2,42.8,8.3,21.7,100,134.51,16.5,4169.93,61.241,11.37493,3.58965,0.07084,1.0682748,45.7,5.8,0.598,179.0,5.0,No,High,Composting (bio-based only),71.9,IT,Municipal WEEE,PE,3.3,2260.0,6.811,False,7.3,REACH Reg. EC/1907/2006; ISO 14040/44 LCA,True,True,False,True,True,0.859,Medium,Bureau Veritas,2024-05-30,2028-05-29,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),,Normal,,,,
DPP-BAT-00008,Battery,NCA Battery Module,Saint-Gobain (FR),PT,2018-10-19,v5.0,kWh capacity,482.733,9,9.06,37.05,53.89,24.5,2.2,Lithium: 1.9186%; Natural Graphite: 1.2749%,,NMP solvent,True,172381.84,27236.33,44474.51,53783.13,46887.86,,25.8,31.2,27.2,100,13759.55,23.6,69678.1,24.871,49.84728,8.71826,4.071243,1.9381108,53.2,,0.65,119.0,1.0,No,Low,Second-life cascade application,13.5,HU,Industrial collection,US,,4582.0,552.971,False,3.9,ISO 50001,True,True,True,True,True,0.979,High,Intertek,2018-11-03,2021-11-02,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-BAT-00009,Battery,NiMH Hybrid Battery Pack,Lanxess AG (DE),PT,2024-03-07,v2.7,kWh capacity,105.526,8,40.15,32.19,27.66,5.2,1.7,Nickel: 6.5700%,6.57,Cadmium,True,492937.83,137036.72,,73447.74,67039.54,27.8,43.7,14.9,13.6,100,1582.67,8.5,30970.77,199.78,42.25213,1.99513,4.552217,0.030705,39.3,5.8,0.542,133.0,8.0,Yes,Not assessed,Energy recovery (incineration),50.1,PL,Take-back scheme,MX,2.7,12585.0,332.011,True,5.2,RoHS Directive 2011/65/EU; ISO 50001; OEKO-TEX® STANDARD 100; CE Marking; ISO 14001:2015,True,True,True,True,,0.625,Medium,DEKRA,2024-06-22,2028-06-21,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-BAT-00010,Battery,NMC 811 Battery Cell,Veolia Environnement (FR),PT,2021-11-16,v3.7,kWh capacity,691.418,9,,38.83,48.29,30.3,4.5,Nickel: 1.7014%; Manganese: 3.2760%; Phosphorus: 4.1124%,9.0898,None declared,False,1318432.09,297965.65,334881.75,388937.47,296647.22,22.6,25.4,29.5,22.5,100,826.1,27.8,286957.33,79.161,20.77574,4.0167,3.932585,1.7529224,5.6,8.0,0.982,219.0,7.0,No,Low,Upcycling to new application,78.3,AT,Take-back scheme,DRC,8.2,4020.0,,False,9.2,EPD (Environmental Product Declaration); EU Battery Regulation 2023/1542,False,True,True,True,True,0.823,Medium,DEKRA,2021-12-20,2022-12-20,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
